Date,Service,Agence,Departement,Agent,Montant,ClientID
2024-05-27,Achat Facture Courant,Kankan,Ventes,Agent_033,19343,CLT_6759
2024-02-08,Wallet,Conakry,Marketing,Agent_028,9120,CLT_7616
2024-05-30,Transfert d'Argent,Kindia,Marketing,Agent_007,47843,CLT_7287
2024-12-11,Achat Facture Courant,Conakry,Support Client,Agent_049,3049,CLT_6423
2024-09-10,Achat Facture Courant,Nzérékoré,Finance,Agent_032,8158,CLT_8400
2024-04-08,Transfert d'Argent,Labé,Support Client,Agent_024,13183,CLT_2648
2024-04-13,Achat Facture Courant,Labé,Ventes,Agent_035,3200,CLT_3961
2024-12-03,Wallet,Labé,Finance,Agent_041,29643,CLT_9352
2024-03-08,Paiement Mobile,Nzérékoré,Support Client,Agent_008,47214,CLT_2218
2024-05-07,Paiement Mobile,Kankan,Marketing,Agent_022,20830,CLT_2045
2024-08-25,Wallet,Nzérékoré,Marketing,Agent_008,20738,CLT_1225
2024-10-03,Wallet,Conakry,Support Client,Agent_047,42919,CLT_6600
2024-11-12,Achat Facture Courant,Labé,Support Client,Agent_035,45080,CLT_8679
2024-01-17,Achat Facture Courant,Kankan,Finance,Agent_046,37212,CLT_2060
2024-10-06,Paiement Mobile,Conakry,Finance,Agent_031,1699,CLT_6088
2024-04-25,Transfert d'Argent,Nzérékoré,Finance,Agent_032,7102,CLT_2184
2024-09-12,Transfert d'Argent,Kindia,Ventes,Agent_042,24093,CLT_1569
2024-11-18,Achat Facture Courant,Kindia,Opérations,Agent_027,11729,CLT_2409
2024-09-29,Achat Facture Courant,Conakry,Ventes,Agent_043,13533,CLT_8343
2024-02-08,Paiement Mobile,Kindia,Opérations,Agent_035,30592,CLT_9716
2024-11-11,Wallet,Conakry,Support Client,Agent_045,3368,CLT_7655
2024-05-21,Achat Facture Courant,Labé,Support Client,Agent_034,14121,CLT_6919
2024-08-02,Transfert d'Argent,Labé,Ventes,Agent_022,32289,CLT_8509
2024-10-31,Achat Facture Courant,Kindia,Marketing,Agent_037,49096,CLT_4124
2024-02-29,Achat Facture Courant,Kankan,Finance,Agent_039,22699,CLT_5869
2024-12-30,Achat Facture Courant,Kankan,Marketing,Agent_040,8987,CLT_7799
2024-09-25,Wallet,Kankan,Opérations,Agent_030,27258,CLT_5752
2024-04-29,Transfert d'Argent,Labé,Support Client,Agent_026,26316,CLT_9308
2024-11-13,Transfert d'Argent,Conakry,Support Client,Agent_001,2081,CLT_1512
2024-08-26,Wallet,Conakry,Finance,Agent_001,4343,CLT_5070
2024-07-10,Transfert d'Argent,Nzérékoré,Finance,Agent_003,20531,CLT_5249
2024-05-23,Transfert d'Argent,Nzérékoré,Ventes,Agent_029,10435,CLT_6188
2024-02-16,Paiement Mobile,Kankan,Finance,Agent_012,44919,CLT_7617
2024-12-06,Transfert d'Argent,Kankan,Ventes,Agent_030,38220,CLT_6881
2024-01-10,Wallet,Nzérékoré,Support Client,Agent_034,41158,CLT_7905
2024-05-26,Wallet,Conakry,Finance,Agent_045,5611,CLT_3839
2024-12-01,Transfert d'Argent,Kindia,Ventes,Agent_028,26471,CLT_7303
2024-12-05,Achat Facture Courant,Kankan,Opérations,Agent_035,36195,CLT_5000
2024-06-27,Transfert d'Argent,Nzérékoré,Support Client,Agent_003,33320,CLT_6536
2024-06-16,Wallet,Labé,Support Client,Agent_029,44404,CLT_5107
2024-04-04,Wallet,Kindia,Finance,Agent_050,35850,CLT_9967
2024-04-02,Wallet,Kindia,Opérations,Agent_034,42576,CLT_4974
2024-07-14,Wallet,Nzérékoré,Opérations,Agent_045,12338,CLT_1412
2024-08-04,Paiement Mobile,Nzérékoré,Ventes,Agent_036,45425,CLT_6988
2024-07-10,Transfert d'Argent,Conakry,Marketing,Agent_048,18955,CLT_6073
2024-04-05,Achat Facture Courant,Nzérékoré,Support Client,Agent_049,21150,CLT_6644
2024-10-05,Paiement Mobile,Labé,Ventes,Agent_030,47352,CLT_9787
2024-08-04,Wallet,Nzérékoré,Marketing,Agent_019,48280,CLT_1395
2024-08-20,Transfert d'Argent,Kankan,Ventes,Agent_007,18101,CLT_3782
2024-02-21,Transfert d'Argent,Kindia,Finance,Agent_005,38259,CLT_8192
2024-02-22,Transfert d'Argent,Conakry,Finance,Agent_042,22689,CLT_7541
2024-08-10,Wallet,Nzérékoré,Marketing,Agent_023,9924,CLT_5330
2024-11-26,Wallet,Kankan,Ventes,Agent_010,18337,CLT_3539
2024-09-09,Wallet,Nzérékoré,Opérations,Agent_009,28569,CLT_7938
2024-05-01,Wallet,Nzérékoré,Finance,Agent_037,27962,CLT_2365
2024-05-24,Transfert d'Argent,Conakry,Finance,Agent_004,36909,CLT_8419
2024-10-01,Paiement Mobile,Kankan,Marketing,Agent_010,29178,CLT_5268
2024-05-20,Wallet,Kankan,Opérations,Agent_020,14116,CLT_4072
2024-12-13,Wallet,Conakry,Support Client,Agent_049,24960,CLT_1823
2024-04-26,Wallet,Kindia,Support Client,Agent_045,23700,CLT_2852
2024-10-29,Paiement Mobile,Nzérékoré,Marketing,Agent_037,26826,CLT_7190
2024-08-20,Paiement Mobile,Conakry,Finance,Agent_003,20087,CLT_9662
2024-01-12,Wallet,Kankan,Support Client,Agent_008,10337,CLT_7819
2024-03-30,Achat Facture Courant,Kindia,Support Client,Agent_050,34307,CLT_5964
2024-02-10,Achat Facture Courant,Labé,Ventes,Agent_009,14216,CLT_7132
2024-07-30,Paiement Mobile,Kankan,Finance,Agent_013,35349,CLT_8714
2024-09-09,Wallet,Kindia,Marketing,Agent_005,11136,CLT_1009
2024-11-07,Wallet,Kindia,Marketing,Agent_045,38892,CLT_2015
2024-10-15,Wallet,Conakry,Opérations,Agent_032,47318,CLT_8449
2024-03-03,Paiement Mobile,Labé,Marketing,Agent_049,47540,CLT_5000
2024-04-07,Paiement Mobile,Labé,Ventes,Agent_021,41943,CLT_3000
2024-07-15,Transfert d'Argent,Nzérékoré,Marketing,Agent_023,24524,CLT_4636
2024-06-13,Wallet,Kindia,Marketing,Agent_017,49212,CLT_8245
2024-01-01,Transfert d'Argent,Nzérékoré,Finance,Agent_004,22949,CLT_5544
2024-10-14,Wallet,Kankan,Opérations,Agent_034,44125,CLT_1770
2024-11-01,Achat Facture Courant,Conakry,Support Client,Agent_005,25285,CLT_5858
2024-11-08,Paiement Mobile,Nzérékoré,Finance,Agent_014,38441,CLT_5530
2024-04-12,Wallet,Kankan,Opérations,Agent_038,43289,CLT_7241
2024-12-03,Wallet,Labé,Marketing,Agent_034,18715,CLT_5261
2024-11-30,Achat Facture Courant,Kindia,Marketing,Agent_017,38660,CLT_8043
2024-05-17,Achat Facture Courant,Conakry,Opérations,Agent_017,20963,CLT_6971
2024-03-09,Wallet,Nzérékoré,Opérations,Agent_013,40037,CLT_4818
2024-02-12,Achat Facture Courant,Labé,Marketing,Agent_047,18144,CLT_8830
2024-07-01,Achat Facture Courant,Labé,Support Client,Agent_040,43679,CLT_9472
2024-07-13,Achat Facture Courant,Labé,Marketing,Agent_029,11161,CLT_7777
2024-02-20,Transfert d'Argent,Nzérékoré,Finance,Agent_018,46659,CLT_5777
2024-11-12,Wallet,Nzérékoré,Ventes,Agent_005,40144,CLT_1523
2024-12-11,Wallet,Kindia,Ventes,Agent_014,27329,CLT_8240
2024-10-08,Paiement Mobile,Conakry,Marketing,Agent_048,5432,CLT_2276
2024-06-28,Transfert d'Argent,Kindia,Support Client,Agent_023,3125,CLT_1364
2024-06-02,Wallet,Labé,Marketing,Agent_007,6122,CLT_2646
2024-08-25,Transfert d'Argent,Kankan,Finance,Agent_018,41441,CLT_7949
2024-08-14,Transfert d'Argent,Conakry,Finance,Agent_028,26289,CLT_2062
2024-09-29,Transfert d'Argent,Kindia,Support Client,Agent_025,40056,CLT_4596
2024-07-30,Paiement Mobile,Kankan,Opérations,Agent_003,17616,CLT_7371
2024-04-20,Wallet,Kindia,Ventes,Agent_044,7738,CLT_3472
2024-04-10,Wallet,Kankan,Opérations,Agent_034,11167,CLT_1876
2024-08-16,Paiement Mobile,Conakry,Finance,Agent_022,27900,CLT_2733
2024-03-10,Transfert d'Argent,Kankan,Marketing,Agent_030,14918,CLT_4735
2024-11-06,Paiement Mobile,Labé,Marketing,Agent_031,5324,CLT_6342
2024-01-06,Wallet,Kankan,Support Client,Agent_011,23350,CLT_9837
2024-04-27,Paiement Mobile,Labé,Ventes,Agent_002,1846,CLT_7316
2024-10-26,Paiement Mobile,Kindia,Support Client,Agent_019,46587,CLT_5208
2024-05-19,Transfert d'Argent,Conakry,Opérations,Agent_014,46375,CLT_2828
2024-05-18,Transfert d'Argent,Kankan,Finance,Agent_043,48362,CLT_4744
2024-06-26,Achat Facture Courant,Kindia,Finance,Agent_023,10865,CLT_3219
2024-01-13,Achat Facture Courant,Kindia,Support Client,Agent_001,2342,CLT_3832
2024-09-21,Transfert d'Argent,Labé,Ventes,Agent_005,32037,CLT_1235
2024-11-29,Paiement Mobile,Labé,Ventes,Agent_034,20019,CLT_9162
2024-02-04,Paiement Mobile,Kankan,Finance,Agent_008,42832,CLT_7413
2024-11-11,Wallet,Labé,Finance,Agent_037,20282,CLT_8546
2024-03-18,Wallet,Kankan,Ventes,Agent_045,18449,CLT_3136
2024-10-22,Achat Facture Courant,Labé,Finance,Agent_038,6984,CLT_6142
2024-03-03,Transfert d'Argent,Conakry,Ventes,Agent_017,35016,CLT_5033
2024-11-04,Achat Facture Courant,Labé,Marketing,Agent_006,28202,CLT_2202
2024-02-11,Achat Facture Courant,Kankan,Finance,Agent_033,26053,CLT_1922
2024-06-05,Wallet,Conakry,Ventes,Agent_037,33154,CLT_1950
2024-10-15,Wallet,Kankan,Opérations,Agent_010,38380,CLT_2865
2024-12-18,Wallet,Nzérékoré,Support Client,Agent_045,7359,CLT_8863
2024-01-15,Paiement Mobile,Nzérékoré,Finance,Agent_047,19755,CLT_3891
2024-06-21,Wallet,Labé,Marketing,Agent_036,34561,CLT_3116
2024-05-27,Transfert d'Argent,Kindia,Opérations,Agent_046,25938,CLT_3443
2024-08-05,Paiement Mobile,Kindia,Ventes,Agent_033,27215,CLT_1827
2024-06-19,Achat Facture Courant,Kankan,Support Client,Agent_048,47403,CLT_4876
2024-11-23,Transfert d'Argent,Kindia,Ventes,Agent_028,45409,CLT_7024
2024-02-20,Paiement Mobile,Conakry,Marketing,Agent_023,35560,CLT_6732
2024-12-11,Wallet,Kankan,Ventes,Agent_001,35622,CLT_5021
2024-02-24,Transfert d'Argent,Nzérékoré,Ventes,Agent_009,40224,CLT_5212
2024-06-02,Paiement Mobile,Labé,Support Client,Agent_025,35393,CLT_8973
2024-07-28,Transfert d'Argent,Kindia,Marketing,Agent_017,7783,CLT_5971
2024-09-07,Transfert d'Argent,Conakry,Support Client,Agent_006,20956,CLT_6975
2024-06-09,Paiement Mobile,Nzérékoré,Marketing,Agent_022,20097,CLT_6588
2024-02-18,Transfert d'Argent,Conakry,Support Client,Agent_041,38011,CLT_4701
2024-12-07,Achat Facture Courant,Nzérékoré,Ventes,Agent_007,10984,CLT_2759
2024-05-20,Wallet,Labé,Marketing,Agent_019,28965,CLT_3079
2024-06-06,Paiement Mobile,Conakry,Finance,Agent_029,25861,CLT_8311
2024-01-19,Wallet,Conakry,Marketing,Agent_047,29865,CLT_7645
2024-04-22,Wallet,Labé,Support Client,Agent_001,13342,CLT_9038
2024-05-10,Achat Facture Courant,Kindia,Opérations,Agent_019,11093,CLT_7305
2024-03-27,Transfert d'Argent,Kankan,Opérations,Agent_007,16708,CLT_1832
2024-11-08,Transfert d'Argent,Labé,Marketing,Agent_008,32480,CLT_4310
2024-08-16,Transfert d'Argent,Labé,Ventes,Agent_028,36822,CLT_8970
2024-04-05,Achat Facture Courant,Labé,Support Client,Agent_037,22389,CLT_1822
2024-01-07,Wallet,Conakry,Finance,Agent_019,21079,CLT_4452
2024-02-05,Paiement Mobile,Kankan,Opérations,Agent_002,43880,CLT_7852
2024-01-11,Wallet,Kindia,Marketing,Agent_023,12382,CLT_5491
2024-01-20,Paiement Mobile,Nzérékoré,Ventes,Agent_034,8083,CLT_6986
2024-12-07,Achat Facture Courant,Conakry,Opérations,Agent_030,20063,CLT_3106
2024-08-02,Achat Facture Courant,Conakry,Opérations,Agent_017,3573,CLT_3599
2024-08-24,Paiement Mobile,Conakry,Marketing,Agent_046,42401,CLT_9996
2024-03-15,Wallet,Kindia,Finance,Agent_042,39243,CLT_9232
2024-02-03,Paiement Mobile,Nzérékoré,Ventes,Agent_038,13875,CLT_2622
2024-04-26,Wallet,Nzérékoré,Marketing,Agent_031,18029,CLT_5263
2024-04-07,Achat Facture Courant,Nzérékoré,Ventes,Agent_007,28529,CLT_3969
2024-07-08,Wallet,Kindia,Support Client,Agent_043,20250,CLT_5788
2024-10-18,Transfert d'Argent,Kindia,Finance,Agent_021,25063,CLT_7819
2024-04-22,Transfert d'Argent,Labé,Opérations,Agent_047,3711,CLT_5853
2024-03-09,Achat Facture Courant,Conakry,Opérations,Agent_036,9942,CLT_2762
2024-08-31,Transfert d'Argent,Conakry,Marketing,Agent_045,39890,CLT_1481
2024-07-19,Wallet,Kindia,Finance,Agent_009,16048,CLT_3343
2024-01-17,Paiement Mobile,Conakry,Finance,Agent_043,19023,CLT_7185
2024-01-25,Transfert d'Argent,Labé,Marketing,Agent_050,35020,CLT_5203
2024-06-20,Transfert d'Argent,Kindia,Support Client,Agent_019,27212,CLT_5090
2024-10-31,Paiement Mobile,Conakry,Opérations,Agent_049,21491,CLT_2341
2024-03-20,Achat Facture Courant,Labé,Finance,Agent_017,2750,CLT_6604
2024-07-16,Achat Facture Courant,Conakry,Opérations,Agent_025,12918,CLT_4993
2024-12-30,Wallet,Kindia,Ventes,Agent_023,23297,CLT_8124
2024-03-26,Wallet,Nzérékoré,Ventes,Agent_048,9007,CLT_2521
2024-11-10,Transfert d'Argent,Nzérékoré,Opérations,Agent_031,26510,CLT_4042
2024-04-12,Paiement Mobile,Labé,Support Client,Agent_045,14409,CLT_1130
2024-10-19,Transfert d'Argent,Kindia,Support Client,Agent_039,29535,CLT_7640
2024-01-04,Paiement Mobile,Conakry,Finance,Agent_018,49288,CLT_9684
2024-04-17,Wallet,Kindia,Marketing,Agent_042,1545,CLT_5346
2024-09-03,Paiement Mobile,Nzérékoré,Opérations,Agent_032,14919,CLT_4810
2024-02-08,Wallet,Kankan,Finance,Agent_049,9436,CLT_1271
2024-08-23,Transfert d'Argent,Conakry,Opérations,Agent_030,25574,CLT_4430
2024-12-05,Paiement Mobile,Conakry,Ventes,Agent_003,45460,CLT_2165
2024-06-06,Wallet,Kankan,Opérations,Agent_037,41600,CLT_9623
2024-07-11,Paiement Mobile,Conakry,Ventes,Agent_024,10155,CLT_2828
2024-03-01,Paiement Mobile,Labé,Support Client,Agent_006,1806,CLT_8486
2024-10-28,Achat Facture Courant,Labé,Finance,Agent_034,49280,CLT_8878
2024-02-21,Achat Facture Courant,Labé,Support Client,Agent_029,16934,CLT_6429
2024-08-30,Paiement Mobile,Kindia,Marketing,Agent_034,18320,CLT_7402
2024-09-18,Paiement Mobile,Nzérékoré,Ventes,Agent_009,12362,CLT_2913
2024-08-28,Paiement Mobile,Labé,Opérations,Agent_035,26425,CLT_8312
2024-08-03,Transfert d'Argent,Labé,Finance,Agent_047,38443,CLT_2933
2024-12-22,Wallet,Labé,Ventes,Agent_003,44642,CLT_2218
2024-08-13,Achat Facture Courant,Kindia,Ventes,Agent_015,43520,CLT_1954
2024-08-13,Achat Facture Courant,Kankan,Marketing,Agent_005,6295,CLT_9228
2024-11-11,Achat Facture Courant,Nzérékoré,Support Client,Agent_005,22452,CLT_6233
2024-02-09,Paiement Mobile,Nzérékoré,Marketing,Agent_003,2591,CLT_7183
2024-12-12,Paiement Mobile,Nzérékoré,Ventes,Agent_006,21695,CLT_8314
2024-12-01,Achat Facture Courant,Kankan,Ventes,Agent_048,19088,CLT_7924
2024-12-28,Paiement Mobile,Conakry,Finance,Agent_042,21670,CLT_4738
2024-07-06,Transfert d'Argent,Nzérékoré,Marketing,Agent_045,10017,CLT_3808
2024-01-31,Transfert d'Argent,Kindia,Opérations,Agent_032,23890,CLT_4741
2024-02-08,Transfert d'Argent,Kindia,Support Client,Agent_002,49845,CLT_9780
2024-01-12,Transfert d'Argent,Kindia,Finance,Agent_046,10882,CLT_2136
2024-08-20,Paiement Mobile,Kindia,Support Client,Agent_024,2007,CLT_6445
2024-03-14,Paiement Mobile,Kindia,Support Client,Agent_015,26821,CLT_6084
2024-10-04,Achat Facture Courant,Kankan,Support Client,Agent_050,8491,CLT_2040
2024-01-12,Wallet,Conakry,Opérations,Agent_001,21953,CLT_7353
2024-11-01,Wallet,Nzérékoré,Support Client,Agent_036,26338,CLT_6346
2024-01-07,Paiement Mobile,Labé,Ventes,Agent_006,32598,CLT_4356
2024-01-04,Paiement Mobile,Labé,Finance,Agent_041,17422,CLT_4342
2024-10-11,Paiement Mobile,Labé,Support Client,Agent_032,47766,CLT_4155
2024-01-22,Transfert d'Argent,Labé,Marketing,Agent_017,45413,CLT_1988
2024-01-21,Transfert d'Argent,Nzérékoré,Marketing,Agent_020,49901,CLT_2682
2024-09-13,Wallet,Kankan,Opérations,Agent_035,27431,CLT_4056
2024-10-07,Achat Facture Courant,Kankan,Opérations,Agent_015,24019,CLT_3255
2024-01-27,Achat Facture Courant,Kankan,Ventes,Agent_017,37444,CLT_4380
2024-01-08,Transfert d'Argent,Labé,Opérations,Agent_007,18343,CLT_7059
2024-06-29,Achat Facture Courant,Kankan,Opérations,Agent_003,16251,CLT_8725
2024-01-15,Paiement Mobile,Conakry,Support Client,Agent_020,35531,CLT_9712
2024-06-14,Achat Facture Courant,Conakry,Support Client,Agent_022,6109,CLT_7644
2024-04-26,Wallet,Labé,Finance,Agent_017,37935,CLT_9465
2024-11-15,Wallet,Labé,Finance,Agent_025,21581,CLT_4496
2024-09-23,Wallet,Labé,Ventes,Agent_017,40499,CLT_4117
2024-06-08,Transfert d'Argent,Kankan,Support Client,Agent_033,9905,CLT_7047
2024-08-29,Achat Facture Courant,Conakry,Opérations,Agent_033,28424,CLT_2949
2024-03-17,Achat Facture Courant,Kindia,Opérations,Agent_038,24398,CLT_1089
2024-06-22,Wallet,Kindia,Opérations,Agent_042,10078,CLT_9619
2024-10-31,Achat Facture Courant,Labé,Finance,Agent_003,2925,CLT_3056
2024-09-18,Paiement Mobile,Conakry,Opérations,Agent_012,37679,CLT_4389
2024-03-24,Wallet,Labé,Marketing,Agent_020,33975,CLT_1899
2024-11-09,Wallet,Kindia,Marketing,Agent_041,30545,CLT_5109
2024-01-12,Transfert d'Argent,Kankan,Finance,Agent_025,14612,CLT_2266
2024-05-01,Transfert d'Argent,Kankan,Finance,Agent_008,29380,CLT_3356
2024-07-01,Achat Facture Courant,Labé,Support Client,Agent_018,11181,CLT_8057
2024-07-29,Wallet,Nzérékoré,Ventes,Agent_003,15025,CLT_9946
2024-02-04,Paiement Mobile,Nzérékoré,Ventes,Agent_007,31027,CLT_8005
2024-07-31,Transfert d'Argent,Kindia,Finance,Agent_024,9595,CLT_4453
2024-01-20,Achat Facture Courant,Kindia,Ventes,Agent_032,7563,CLT_6631
2024-08-15,Wallet,Kindia,Support Client,Agent_006,46350,CLT_2394
2024-07-04,Wallet,Nzérékoré,Support Client,Agent_003,49364,CLT_1529
2024-02-09,Paiement Mobile,Conakry,Marketing,Agent_026,20975,CLT_7895
2024-03-27,Wallet,Kankan,Opérations,Agent_037,45965,CLT_5648
2024-11-13,Wallet,Kankan,Finance,Agent_047,33781,CLT_5599
2024-08-18,Paiement Mobile,Kankan,Opérations,Agent_039,46893,CLT_4216
2024-12-10,Paiement Mobile,Kankan,Opérations,Agent_035,44006,CLT_6543
2024-06-12,Paiement Mobile,Labé,Opérations,Agent_003,34397,CLT_1269
2024-03-20,Wallet,Nzérékoré,Opérations,Agent_012,46917,CLT_4432
2024-09-13,Paiement Mobile,Kankan,Marketing,Agent_012,24040,CLT_1575
2024-10-10,Paiement Mobile,Labé,Finance,Agent_047,7116,CLT_4568
2024-04-29,Achat Facture Courant,Kankan,Support Client,Agent_020,21337,CLT_1968
2024-10-19,Achat Facture Courant,Kindia,Finance,Agent_001,40030,CLT_2058
2024-07-16,Paiement Mobile,Nzérékoré,Marketing,Agent_005,30856,CLT_2229
2024-01-12,Wallet,Kankan,Finance,Agent_050,2239,CLT_6370
2024-10-25,Wallet,Kindia,Ventes,Agent_050,16398,CLT_6342
2024-07-02,Transfert d'Argent,Labé,Opérations,Agent_023,41363,CLT_7294
2024-05-05,Paiement Mobile,Kankan,Opérations,Agent_042,18275,CLT_5470
2024-01-08,Wallet,Nzérékoré,Ventes,Agent_008,24196,CLT_8519
2024-12-23,Paiement Mobile,Kindia,Ventes,Agent_026,23473,CLT_7257
2024-05-24,Wallet,Conakry,Support Client,Agent_027,43823,CLT_5440
2024-10-28,Achat Facture Courant,Conakry,Ventes,Agent_019,14598,CLT_4124
2024-10-30,Paiement Mobile,Conakry,Opérations,Agent_028,5033,CLT_6105
2024-07-10,Wallet,Conakry,Ventes,Agent_041,22592,CLT_7924
2024-03-13,Paiement Mobile,Nzérékoré,Ventes,Agent_011,26923,CLT_4173
2024-05-11,Wallet,Labé,Opérations,Agent_018,32116,CLT_2000
2024-10-05,Transfert d'Argent,Nzérékoré,Marketing,Agent_001,2367,CLT_9189
2024-11-05,Transfert d'Argent,Conakry,Finance,Agent_015,24616,CLT_5806
2024-05-22,Paiement Mobile,Labé,Support Client,Agent_029,39360,CLT_2440
2024-10-31,Achat Facture Courant,Conakry,Marketing,Agent_044,15437,CLT_8010
2024-04-19,Wallet,Kindia,Opérations,Agent_046,13040,CLT_7228
2024-10-08,Achat Facture Courant,Kindia,Support Client,Agent_029,2177,CLT_5760
2024-01-12,Paiement Mobile,Kindia,Finance,Agent_015,12563,CLT_9234
2024-12-08,Wallet,Kindia,Support Client,Agent_043,25596,CLT_1406
2024-04-16,Transfert d'Argent,Nzérékoré,Support Client,Agent_015,9906,CLT_5146
2024-09-27,Achat Facture Courant,Nzérékoré,Finance,Agent_022,38650,CLT_7012
2024-02-21,Wallet,Labé,Finance,Agent_047,14467,CLT_8311
2024-04-15,Achat Facture Courant,Kindia,Opérations,Agent_049,44596,CLT_7787
2024-03-30,Paiement Mobile,Labé,Support Client,Agent_010,30734,CLT_8052
2024-06-07,Transfert d'Argent,Conakry,Opérations,Agent_042,25611,CLT_6203
2024-09-19,Wallet,Conakry,Support Client,Agent_045,14673,CLT_7284
2024-04-27,Paiement Mobile,Kankan,Ventes,Agent_026,38384,CLT_1009
2024-04-30,Paiement Mobile,Kindia,Ventes,Agent_026,35084,CLT_6699
2024-02-19,Achat Facture Courant,Labé,Support Client,Agent_039,37041,CLT_8000
2024-05-25,Transfert d'Argent,Kankan,Opérations,Agent_033,43422,CLT_1482
2024-04-17,Wallet,Conakry,Finance,Agent_017,42621,CLT_3852
2024-05-22,Transfert d'Argent,Kankan,Marketing,Agent_010,10160,CLT_2100
2024-09-10,Paiement Mobile,Kindia,Marketing,Agent_007,29482,CLT_7780
2024-06-15,Paiement Mobile,Conakry,Marketing,Agent_039,45311,CLT_3349
2024-01-19,Achat Facture Courant,Kindia,Opérations,Agent_032,26766,CLT_7764
2024-02-05,Achat Facture Courant,Nzérékoré,Ventes,Agent_036,15210,CLT_1072
2024-05-15,Paiement Mobile,Labé,Ventes,Agent_039,7704,CLT_4713
2024-01-05,Achat Facture Courant,Labé,Finance,Agent_008,35503,CLT_9258
2024-10-26,Paiement Mobile,Kindia,Marketing,Agent_022,33581,CLT_6249
2024-08-02,Achat Facture Courant,Kindia,Ventes,Agent_035,10686,CLT_5211
2024-09-20,Wallet,Kankan,Opérations,Agent_036,48556,CLT_4374
2024-11-06,Achat Facture Courant,Kindia,Ventes,Agent_016,4083,CLT_4719
2024-01-03,Achat Facture Courant,Nzérékoré,Support Client,Agent_040,30301,CLT_7099
2024-12-25,Achat Facture Courant,Kankan,Ventes,Agent_030,33916,CLT_5037
2024-08-18,Achat Facture Courant,Conakry,Finance,Agent_016,11699,CLT_3785
2024-05-21,Achat Facture Courant,Conakry,Opérations,Agent_045,19792,CLT_1340
2024-09-14,Transfert d'Argent,Conakry,Ventes,Agent_001,39067,CLT_8574
2024-06-02,Achat Facture Courant,Kindia,Marketing,Agent_022,11382,CLT_5437
2024-11-11,Paiement Mobile,Kankan,Opérations,Agent_012,32982,CLT_1560
2024-02-11,Wallet,Kindia,Finance,Agent_035,12421,CLT_8629
2024-05-13,Transfert d'Argent,Kankan,Ventes,Agent_015,47484,CLT_8842
2024-03-06,Transfert d'Argent,Kindia,Marketing,Agent_018,8373,CLT_6907
2024-09-12,Wallet,Conakry,Opérations,Agent_025,30984,CLT_5259
2024-04-04,Wallet,Conakry,Finance,Agent_003,36298,CLT_2960
2024-01-25,Paiement Mobile,Nzérékoré,Opérations,Agent_008,36732,CLT_8137
2024-01-25,Transfert d'Argent,Kankan,Finance,Agent_012,8967,CLT_9734
2024-11-29,Achat Facture Courant,Kindia,Finance,Agent_006,19268,CLT_5349
2024-05-09,Achat Facture Courant,Labé,Marketing,Agent_005,43913,CLT_7488
2024-05-09,Wallet,Labé,Opérations,Agent_031,31158,CLT_9648
2024-03-23,Paiement Mobile,Labé,Finance,Agent_009,29861,CLT_7406
